,tile_id,fans,blotches
2339,APF00001z0,0,1
6365,APF00006vo,0,1
13561,APF0000e84,0,1
2573,APF000027f,0,1
27084,APF0000tvy,0,1
18484,APF0000jsj,0,1
10724,APF0000bb5,0,1
14101,APF0000ezu,1,1
3020,APF00002or,1,1
26198,APF0000sx7,0,1
1800,APF00001j1,0,1
7089,APF00007l2,0,1
11926,APF0000cd7,1,1
25004,APF0000rmj,1,1
25654,APF0000shn,0,1
17099,APF0000ifj,1,1
6754,APF00007ag,1,1
6109,APF00006ok,1,0
9207,APF00009v7,1,1
15119,APF0000gjr,1,1
671,APF00000l7,0,1
22995,APF0000pid,0,1
8125,APF00008tw,1,0
14060,APF0000ey4,1,1
4899,APF00005k2,1,0
29159,APF0000wmo,1,0
24778,APF0000r88,1,1
17234,APF0000ik3,0,1
25144,APF0000rql,1,0
28211,APF0000vw6,0,1
29132,APF0000wlx,1,0
7976,APF00008nh,0,1
21701,APF0000njk,1,1
7362,APF00007sn,0,1
18614,APF0000jwb,0,1
6517,APF0000701,0,1
16921,APF0000i91,1,1
6718,APF000079f,0,1
5539,APF000064g,0,1
9774,APF0000adr,1,1
2715,APF00002ct,0,1
14547,APF0000fj9,0,1
7605,APF000085s,1,0
8074,APF00008rs,0,1
29310,APF0000wqv,1,1
18681,APF0000jy9,1,1
27544,APF0000uje,1,0
27731,APF0000v6u,0,1
21138,APF0000n15,0,1
29463,APF0000wv4,1,1
22883,APF0000pf0,1,0
11761,APF0000c7w,1,1
21245,APF0000n4k,1,1
29226,APF0000woj,1,1
26320,APF0000t5n,1,1
11694,APF0000c2x,0,1
18699,APF0000jyt,0,1
8374,APF000092v,0,1
18000,APF0000jef,1,1
16157,APF0000hk4,0,1
4219,APF000045s,1,0
20078,APF0000l7u,0,0
2945,APF00002lr,1,0
28809,APF0000wcx,1,1
22848,APF0000pe0,0,1
9415,APF0000a2a,0,1
4779,APF00005e0,0,0
22119,APF0000o3q,0,1
3454,APF000033x,1,1
25618,APF0000sgj,1,1
12195,APF0000cll,1,0
26172,APF0000swh,0,1
5755,APF00006ep,0,1
18498,APF0000jsy,1,1
24436,APF0000qwy,1,0
21525,APF0000ndt,1,1
5224,APF00005uw,1,1
22938,APF0000pgm,1,0
27985,APF0000vfn,0,1
1795,APF00001iw,0,1
26099,APF0000sue,1,1
3421,APF000032t,1,1
1828,APF00001jw,1,1
16699,APF0000i2u,1,1
29311,APF0000wqw,1,0
20555,APF0000md0,0,1
11067,APF0000bkr,1,1
9523,APF0000a5q,0,1
9201,APF00009uz,0,1
11674,APF0000c27,1,0
26624,APF0000tee,1,0
16281,APF0000hr4,1,1
13574,APF0000e8o,0,1
23828,APF0000q9x,1,0
27671,APF0000v2r,1,0
17532,APF0000itk,1,0
28516,APF0000w4q,0,1
25312,APF0000s0m,1,1
3265,APF00002yf,0,0
22202,APF0000obt,1,1
28975,APF0000whk,1,1
9254,APF00009wp,0,1
23558,APF0000q1g,1,0
13038,APF0000dfw,1,0
14796,APF0000fzc,0,1
24760,APF0000r7p,1,1
19004,APF0000k80,0,1
17426,APF0000iqc,1,1
19507,APF0000kmw,0,1
6839,APF00007d1,0,1
21210,APF0000n3g,1,1
13304,APF0000dyg,1,1
18382,APF0000jpo,0,1
29568,APF0000wyn,1,0
14665,APF0000ftw,0,1
21593,APF0000ng3,1,1
21543,APF0000nee,1,1
22901,APF0000pfi,1,0
27723,APF0000v6m,0,1
15347,APF0000gq9,1,1
11621,APF0000c0j,1,1
16373,APF0000htp,1,0
3764,APF00003ju,1,1
1212,APF000010p,0,1
4450,APF00004ds,1,1
596,APF00000j3,0,1
10174,APF0000atn,1,1
3067,APF00002qu,0,1
850,APF00000qa,1,1
24607,APF0000r3b,1,1
10333,APF0000ayb,1,0
29333,APF0000wri,1,1
8146,APF00008un,1,1
23180,APF0000pnq,1,1
1140,APF00000yn,1,1
22882,APF0000pez,1,1
24807,APF0000r92,1,0
950,APF00000t6,1,1
8103,APF00008t3,0,1
18883,APF0000k49,0,1
1867,APF00001l2,0,1
17538,APF0000itr,1,1
3471,APF000034g,1,1
14483,APF0000fg7,0,1
7486,APF00007yt,1,1
19429,APF0000kkk,0,1
13860,APF0000env,1,0
28577,APF0000w6f,1,1
4424,APF00004cw,1,1
20807,APF0000mr5,1,1
15230,APF0000gmv,1,1
9868,APF0000aie,0,1
19293,APF0000kgi,0,1
14090,APF0000ezd,0,1
14259,APF0000f6d,1,0
11168,APF0000bnm,1,1
9048,APF00009pn,0,1
12407,APF0000csp,1,0
26768,APF0000tjf,1,0
16159,APF0000hk8,0,1
22191,APF0000oai,1,1
10324,APF0000ay2,1,1
23468,APF0000pyw,1,0
18599,APF0000jvw,0,1
16858,APF0000i79,1,1
9165,APF00009ts,0,1
7150,APF00007mr,0,1
14900,APF0000g3r,0,1
646,APF00000ki,0,1
11092,APF0000blg,1,1
17534,APF0000itm,1,1
26912,APF0000tnl,0,1
16920,APF0000i90,1,0
4306,APF000048v,1,1
25833,APF0000smr,1,0
16702,APF0000i2x,1,0
16932,APF0000i9c,1,1
3721,APF00003hr,1,1
10829,APF0000be4,1,1
23963,APF0000qdp,1,1
6371,APF00006vu,1,1
6167,APF00006q6,1,1
8806,APF00009g0,0,1
6674,APF0000785,0,1
4050,APF00003xl,1,0
10247,APF0000avt,1,1
17594,APF0000iwn,1,1
11743,APF0000c7b,0,1
6879,APF00007eg,0,1
6000,APF00006lj,1,1
2545,APF000026f,1,0
17621,APF0000iy9,0,1
22462,APF0000ozj,0,1
3632,APF00003c5,1,1
27622,APF0000ux6,0,1
13280,APF0000dxm,1,1
3088,APF00002rn,0,1
2755,APF00002ek,0,1
5034,APF00005oq,0,1
24250,APF0000qph,1,0
7560,APF0000835,1,0
24139,APF0000qko,1,0
13310,APF0000dyq,1,0
15667,APF0000h1j,0,1
17406,APF0000ipq,0,1
21802,APF0000nmo,1,1
12327,APF0000cq1,1,0
20737,APF0000mo9,1,0
3712,APF00003he,1,0
24435,APF0000qwx,0,1
1997,APF00001oq,1,1
18342,APF0000joh,0,1
13858,APF0000ent,1,0
23998,APF0000qeo,1,1
28924,APF0000wg4,1,0
16311,APF0000hrz,1,1
9465,APF0000a3y,0,1
23350,APF0000pvl,1,1
2329,APF00001ym,0,1
5641,APF00006bj,0,1
14353,APF0000fb7,0,1
16187,APF0000hoi,1,0
13309,APF0000dyp,1,1
1151,APF00000yy,1,1
22121,APF0000o3v,0,1
18980,APF0000k79,0,1
6546,APF0000711,0,1
3085,APF00002rk,0,1
15067,APF0000gib,1,1
22814,APF0000pd2,1,0
1274,APF000012t,0,1
24355,APF0000qtj,0,1
13239,APF0000dvx,1,0
22821,APF0000pd9,1,1
15872,APF0000h9b,0,1
13868,APF0000eo9,1,0
14325,APF0000f9v,1,1
3862,APF00003o7,1,0
1339,APF0000158,0,1
2328,APF00001yl,0,1
25316,APF0000s0v,1,1
13978,APF0000evg,0,1
5885,APF00006ic,1,1
23930,APF0000qcs,0,1
20828,APF0000mrs,0,1
7500,APF00007zw,1,0
10852,APF0000ber,1,1
10509,APF0000b50,1,0
25841,APF0000smz,1,1
15430,APF0000gt2,0,1
5369,APF00005za,0,1
4074,APF00003yr,1,1
24590,APF0000r2t,1,1
18553,APF0000juk,0,1
17880,APF0000j9u,0,1
7609,APF000085z,1,0
20510,APF0000m8e,0,1
13844,APF0000en7,1,1
21823,APF0000nn9,0,0
22488,APF0000p1t,0,1
4753,APF00005cr,0,1
24845,APF0000ren,0,0
16881,APF0000i7w,1,1
25112,APF0000rpm,1,1
14990,APF0000gf9,0,1
9137,APF00009ss,1,1
513,APF00000gl,0,1
12801,APF0000d8i,1,1
9831,APF0000agm,1,1
6871,APF00007e4,0,1
10340,APF0000ayi,1,1
14646,APF0000ftc,1,1
21798,APF0000nmk,1,1
28499,APF0000w49,1,1
22454,APF0000oyu,1,1
17844,APF0000j82,1,1
2123,APF00001sa,0,1
5653,APF00006bv,1,1
29533,APF0000wx6,1,1
19564,APF0000kok,0,1
26687,APF0000tgm,0,1
16877,APF0000i7s,1,0
21764,APF0000nlm,1,0
10529,APF0000b5k,1,1
16098,APF0000hhd,0,1
3591,APF000039v,0,0
3680,APF00003fc,0,1
18500,APF0000jt0,0,1
11235,APF0000bpk,1,1
11374,APF0000btl,1,1
3732,APF00003ia,0,1
9681,APF0000aau,1,1
11127,APF0000bmh,1,1
11763,APF0000c7y,1,0
18810,APF0000k24,0,1
11308,APF0000brm,1,1
8057,APF00008r0,0,1
13931,APF0000esz,1,0
9928,APF0000aky,1,1
26408,APF0000t86,1,1
23966,APF0000qds,0,1
27690,APF0000v53,0,1
18008,APF0000jen,1,1
18334,APF0000jo8,0,1
25244,APF0000ryc,1,0
4780,APF00005e1,0,1
18424,APF0000jqv,0,1
19420,APF0000kkb,0,1
7382,APF00007t7,0,1
6934,APF00007gp,0,1
3474,APF000034j,0,1
18473,APF0000js8,0,1
2670,APF00002b7,1,1
14670,APF0000fu4,0,1
11144,APF0000bmy,1,1
7850,APF00008hm,1,0
7537,APF000081z,0,0
1706,APF00001g0,0,1
12081,APF0000cho,1,0
13976,APF0000eve,0,1
10790,APF0000bcz,1,1
29564,APF0000wyh,1,0
17584,APF0000iw4,0,1
23857,APF0000qaq,1,1
17089,APF0000if3,1,1
19727,APF0000kt7,1,1
11589,APF0000bzn,1,1
18054,APF0000jfy,1,1
8156,APF00008v7,1,0
5356,APF00005yx,1,1
17886,APF0000ja4,0,1
28821,APF0000wd9,1,1
17591,APF0000iwi,1,1
28338,APF0000vzs,1,1
14163,APF0000f28,0,1
26235,APF0000t01,1,0
13467,APF0000e4t,1,0
28539,APF0000w5d,1,1
10441,APF0000b2x,1,1
28916,APF0000wfw,1,0
27553,APF0000ulw,1,0
18433,APF0000jr4,0,1
2490,APF000024b,1,1
9921,APF0000akp,0,1
27468,APF0000uf1,1,1
9777,APF0000adv,1,1
23744,APF0000q7l,1,1
20232,APF0000lnp,1,1
26265,APF0000t2a,1,0
20887,APF0000mth,1,1
12096,APF0000ci3,0,1
26761,APF0000tj8,1,1
27885,APF0000vbr,1,0
24804,APF0000r8z,1,1
7484,APF00007yq,1,0
16389,APF0000hu5,1,1
2971,APF00002mv,1,1
657,APF00000kt,0,1
24034,APF0000qfo,1,1
743,APF00000nb,1,1
17823,APF0000j75,0,1
6583,APF000073n,1,1
14465,APF0000ffe,0,1
19309,APF0000kgz,0,1
7117,APF00007lu,0,1
3682,APF00003fg,1,0
28895,APF0000wfb,1,1
11006,APF0000bj1,0,1
26132,APF0000svb,1,1
23197,APF0000po9,1,0
15543,APF0000gx6,1,1
24866,APF0000rik,1,0
390,APF00000cx,0,1
10250,APF0000avw,1,0
26006,APF0000srp,1,1
9212,APF00009vc,0,1
15391,APF0000grv,0,1
27534,APF0000uir,0,1
25221,APF0000rwp,0,1
1653,APF00001ei,1,0
9404,APF0000a1w,1,1
1118,APF00000y1,1,1
4470,APF00004el,1,1
23864,APF0000qay,0,1
24585,APF0000r2o,0,1
2280,APF00001wz,1,0
11511,APF0000bxh,1,1
23475,APF0000pz3,0,1
28867,APF0000wej,1,1
5666,APF00006c8,0,1
21813,APF0000nmz,1,0
4335,APF000049u,1,1
10444,APF0000b32,1,1
18354,APF0000jov,1,0
11623,APF0000c0l,1,1
7658,APF000088f,1,0
5372,APF00005ze,1,1
29271,APF0000wps,1,1
5384,APF00005zs,0,1
14637,APF0000ft3,0,1
27895,APF0000vc2,0,1
1407,APF000017f,1,1
15529,APF0000gws,1,1
18205,APF0000jkf,0,1
11104,APF0000bls,1,1
5130,APF00005ru,1,0
8620,APF00009ad,0,1
22457,APF0000oyy,1,0
29610,APF0000x0d,1,0
19211,APF0000ke5,0,1
15995,APF0000hdj,1,0
23673,APF0000q4x,0,1
1068,APF00000wn,0,1
13650,APF0000edu,1,1
17123,APF0000igb,0,1
8112,APF00008tf,1,1
15505,APF0000gw0,0,1
20114,APF0000lbw,0,0
2416,APF000021n,0,1
21927,APF0000nrc,1,0
4152,APF000042f,0,1
25777,APF0000sl6,1,1
12840,APF0000d9m,1,0
12640,APF0000d1y,0,1
19902,APF0000kyi,0,1
25853,APF0000snc,1,1
18380,APF0000jpm,0,1
26660,APF0000tfn,0,1
16104,APF0000hhp,0,1
1261,APF000012d,0,1
41,APF000001h,1,1
17336,APF0000inf,0,1
21204,APF0000n38,0,1
2033,APF00001pr,0,1
28857,APF0000we9,1,1
15105,APF0000gjd,0,1
25133,APF0000rq8,1,1
6664,APF000077u,0,1
23043,APF0000pjr,1,1
24576,APF0000r2d,1,1
13424,APF0000e2g,1,1
18676,APF0000jy4,0,1
26525,APF0000tbk,1,1
720,APF00000mo,1,1
11471,APF0000bwb,1,1
9220,APF00009vk,0,1
13674,APF0000efu,0,1
15707,APF0000h37,0,1
24151,APF0000ql5,1,0
7865,APF00008ii,1,0
23154,APF0000pn0,1,1
5793,APF00006fr,0,1
4948,APF00005lv,0,1
18175,APF0000jjj,0,1
22078,APF0000nzc,0,1
4456,APF00004e2,1,1
10612,APF0000b7y,1,0
2915,APF00002ko,1,1
9591,APF0000a85,1,1
29416,APF0000wtt,1,1
21779,APF0000nm1,1,1
27207,APF0000u5p,1,1
14624,APF0000fsq,0,1
22716,APF0000pac,1,1
705,APF00000m8,1,1
8700,APF00009cs,1,0
11033,APF0000bjt,1,1
17078,APF0000ieq,0,1
4285,APF0000484,1,1
2844,APF00002i4,0,1
9368,APF0000a0o,1,1
11054,APF0000bke,1,1
1492,APF000019u,0,1
6380,APF00006w3,0,1
24347,APF0000qta,0,1
25119,APF0000rpt,1,1
1194,APF0000105,1,1
25223,APF0000rx0,0,1
27471,APF0000uf4,1,1
8249,APF00008yk,1,1
7715,APF00008bd,0,1
5206,APF00005ue,0,1
18372,APF0000jpd,0,1
7297,APF00007qu,0,1
2705,APF00002cf,0,1
14895,APF0000g3k,1,1
21686,APF0000nj4,1,1
13477,APF0000e5d,1,1
27775,APF0000v85,0,1
13220,APF0000dv1,0,1
28688,APF0000w9i,1,1
16686,APF0000i2h,1,0
10021,APF0000aop,1,1
25165,APF0000rrq,1,0
11852,APF0000cav,1,1
12917,APF0000dbt,0,1
22176,APF0000o99,0,1
14147,APF0000f1i,1,0
4827,APF00005gy,1,1
6519,APF0000705,0,1
21219,APF0000n3p,1,1
9102,APF00009ri,1,1
8526,APF000097j,0,1
21704,APF0000njn,1,1
24349,APF0000qtc,1,1
4882,APF00005j9,1,1
10475,APF0000b3z,0,1
24731,APF0000r6t,1,0
15307,APF0000gp3,1,1
29591,APF0000wzj,1,0
15562,APF0000gxp,1,1
3492,APF0000353,0,1
21450,APF0000nb9,0,1
9568,APF0000a7c,1,1
5927,APF00006ji,0,1
12857,APF0000da3,1,1
19016,APF0000k8d,0,1
3236,APF00002xe,0,1
12456,APF0000cuc,1,0
24612,APF0000r3g,0,1
2864,APF00002iq,0,1
5703,APF00006d9,1,1
5829,APF00006gr,0,1
1103,APF00000xm,1,1
6703,APF000078z,0,1
5363,APF00005z4,1,1
13843,APF0000en6,1,1
12132,APF0000cjd,1,1
28383,APF0000w11,1,0
14494,APF0000fgo,0,1
10625,APF0000b8c,1,1
5411,APF000060p,1,1
24956,APF0000rl6,0,1
22610,APF0000p7e,1,1
16878,APF0000i7t,1,1
22288,APF0000ok5,1,0
28537,APF0000w5b,1,0
26681,APF0000tgf,1,1
22767,APF0000pbr,1,1
2588,APF0000281,0,1
26377,APF0000t7b,1,1
28758,APF0000wbh,1,1
3547,APF000036q,0,1
2185,APF00001u2,0,1
10092,APF0000ar0,1,1
4735,APF00005bq,1,0
20708,APF0000mn0,1,0
2216,APF00001uy,0,1
16167,APF0000hny,1,0
21926,APF0000nr7,0,0
17288,APF0000ilw,1,1
26605,APF0000tdu,1,1
17368,APF0000iog,1,1
2306,APF00001xt,0,1
5035,APF00005os,0,1
20969,APF0000mvw,1,1
2763,APF00002ew,0,1
22394,APF0000ouw,1,0
25475,APF0000sci,0,1
18321,APF0000jnu,0,1
1975,APF00001o4,0,1
29530,APF0000wx1,1,0
26327,APF0000t5u,1,0
22797,APF0000pcl,1,0
9436,APF0000a2y,1,0
10063,APF0000aq2,1,0
7202,APF00007o7,0,1
22668,APF0000p90,1,1
625,APF00000jx,0,1
10418,APF0000b12,1,0
27940,APF0000vdf,0,1
28293,APF0000vyi,1,1
25632,APF0000sgz,1,1
24433,APF0000qwt,1,1
22889,APF0000pf6,1,0
23433,APF0000pxw,1,0
12673,APF0000d39,1,0
2823,APF00002h8,1,1
25033,APF0000rnc,1,1
655,APF00000kr,1,1
28756,APF0000wbf,1,1
18872,APF0000k3y,0,1
22564,APF0000p64,1,1
23818,APF0000q9n,1,1
18925,APF0000k5l,1,1
13095,APF0000dmh,0,0
22765,APF0000pbp,1,1
22832,APF0000pdk,1,1
19983,APF0000l0t,0,1
1884,APF00001ll,0,1
7899,APF00008k2,0,1
2019,APF00001pc,1,1
15845,APF0000h8j,1,1
13251,APF0000dwd,0,1
25407,APF0000s45,0,1
27490,APF0000ufp,1,0
10037,APF0000ap5,1,1
10406,APF0000b0m,1,0
22645,APF0000p8d,1,1
7693,APF00008ab,1,0
26945,APF0000tol,0,1
20163,APF0000lgw,0,0
25905,APF0000sos,1,1
15522,APF0000gwk,1,1
6930,APF00007gl,0,1
21347,APF0000n7m,1,1
2642,APF00002a1,0,1
6381,APF00006w4,0,1
15027,APF0000gh6,1,1
2171,APF00001to,0,1
2529,APF000025n,1,1
16698,APF0000i2t,1,0
17462,APF0000irg,1,1
24949,APF0000rkz,1,1
24832,APF0000rb2,0,1
6286,APF00006th,1,1
16601,APF0000i03,1,0
28259,APF0000vxj,0,1
7629,APF000086w,0,0
25249,APF0000ryl,1,0
14630,APF0000fsw,1,1
7525,APF000081a,1,1
6454,APF00006y5,0,1
20146,APF0000ley,0,0
6330,APF00006up,1,1
5858,APF00006hl,0,1
23440,APF0000py4,1,0
9131,APF00009sm,1,1
18084,APF0000jgv,1,1
5327,APF00005y1,0,1
27854,APF0000vau,1,1
597,APF00000j4,0,1
10876,APF0000bff,1,1
9634,APF0000a9g,1,0
